Unnamed: 0,eventID,eventTime,userIdentityaccountId,eventSource,eventName,sourceIPAddress,userAgent,userIdentitytype,apiVersion,userIdentityprincipalId,userIdentityarn,userIdentityaccessKeyId,tlsDetailsclientProvidedHostHeader,errorCode,errorMessage,userIdentitysessionContextsessionIssueruserName
0,0,2021-10-04T01:44:15Z,Account-123456789,anderson.net,GetHostedZoneCount,91.115.171.224,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/23.0.815.0 Safari/531.0",Root,1970-07-15,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,lester.net,success,,user17
1,1,2021-10-04T01:44:15Z,Account-123456789,lopez-byrd.info,CreateHostedZone,72.5.160.159,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; hr-HR) AppleWebKit/534.25.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6534.25.4",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,,success,,user17
2,2,2021-10-04T01:44:16Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,72.5.160.159,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 12_6 rv:5.0; iu-CA) AppleWebKit/533.5.6 (KHTML, like Gecko) Version/4.0.5 Safari/533.5.6",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,,success,,user17
3,3,2021-10-04T01:44:16Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,72.5.160.159,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; bs-BA) AppleWebKit/532.19.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.19.7",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,,success,,user17
4,4,2021-10-04T01:44:17Z,Account-123456789,mullins.com,DeleteNatGateway,200.228.121.182,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.43.6 (KHTML, like Gecko) Version/4.1 Safari/533.43.6",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AZM8CDAQJ8EN63D9DV3H,,success,,user17
5,5,2021-10-04T01:44:17Z,Account-123456789,hogan.com,DescribeLaunchTemplateVersions,200.228.121.182,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.43.6 (KHTML, like Gecko) Version/4.1 Safari/533.43.6",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AZM8CDAQJ8EN63D9DV3H,snyder.com,success,,user17
6,6,2021-10-04T01:44:17Z,Account-123456789,shepherd.com,ModifySubnetAttribute,200.228.121.182,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.43.6 (KHTML, like Gecko) Version/4.1 Safari/533.43.6",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AZM8CDAQJ8EN63D9DV3H,burch-cochran.biz,success,,user17
7,7,2021-10-04T01:44:17Z,Account-123456789,lopez-byrd.info,GetBucketLocation,200.228.121.182,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.43.6 (KHTML, like Gecko) Version/4.1 Safari/533.43.6",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AZM8CDAQJ8EN63D9DV3H,,success,,user17
8,8,2021-10-04T01:44:18Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,72.5.160.159,Opera/8.19.(X11; Linux i686; fur-IT) Presto/2.9.188 Version/10.00,Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,,success,,user17
9,9,2021-10-04T01:44:18Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,91.115.171.224,"Mozilla/5.0 (Linux; Android 3.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/54.0.856.0 Safari/534.0",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,,success,,user17
10,10,2021-10-04T01:44:19Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,91.115.171.224,Opera/8.19.(X11; Linux i686; fur-IT) Presto/2.9.188 Version/10.00,Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,,success,,user17
11,11,2021-10-04T01:44:20Z,Account-123456789,lopez-byrd.info,DescribeSubnets,200.228.121.182,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.43.6 (KHTML, like Gecko) Version/4.1 Safari/533.43.6",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AZM8CDAQJ8EN63D9DV3H,,success,,user17
12,12,2021-10-04T01:44:20Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,91.115.171.224,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.24.4 (KHTML, like Gecko) Version/5.0.5 Safari/532.24.4",Root,,c605fd31-b71e-4385-a9c9-1cfc259fcbe1,arn:aws:8ab33856-b311-4fa8-bab1-2a7fad0ec33d,AMV0GEBKYXVMOZWRG7PN,,success,,user17
